[Thu May 28 10:06:40 2020] [ERROR] [Base_Controller->rlog_error] -> 50: Invalid request: #0 C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php(72): get_params()
#1 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->get_data_list()
#2 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#3 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 123
[Thu May 28 10:06:52 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:06:52 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:06:52 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:07:11 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:07:11 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:07:11 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:07:15 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:07:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:07:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:07:15 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:07:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:07:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:07:15 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:07:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:07:15 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:08:05 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:08:05 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:08:05 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:08:09 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:08:09 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:08:09 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:08:09 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:08:09 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:08:09 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:08:09 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:08:09 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:08:09 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:08:10 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:08:10 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:08:10 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:11:22 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$model, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Thu May 28 10:11:22 2020] [ERROR] [] -> Uncaught exception: [0] Call to a member function get_data_list() on null
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->get_data_list()
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 71
[Thu May 28 10:11:37 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$model, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Thu May 28 10:11:37 2020] [ERROR] [] -> Uncaught exception: [0] Call to a member function get_data_list() on null
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->get_data_list()
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 71
[Thu May 28 10:12:31 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:12:31 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:12:31 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:12:47 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
