[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:57 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:22:01 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
