[Mon Jun 01 15:01:56 2020] [ERROR] [] -> Uncaught exception: [0] Call to a member function get_select_data() on null
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Data_entries->index()
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\entries\controllers\Data_entries.php, LINE: 41
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:03 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:06 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:10 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:13 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:16 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:55:19 2020] [EMERGENCY] [] -> Constant DB_SOS already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:26 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:30 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:30 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:30 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:30 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
[Mon Jun 01 17:56:30 2020] [EMERGENCY] [] -> Constant MESSENGER_WEBHOOK_URL already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 20
