[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
[Mon Jun 08 14:11:24 2020] [EMERGENCY] [] -> Constant JS_FORMDEFAULTVALUE already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\core\constants.php, LINE: 204
