[Sat May 30 21:05:17 2020] [ERROR] [Base_Controller->rlog_error] -> The account you are trying to log in has active session in another device.  Please log out the account from another device and try logging in again., FILE: C:\xampp\htdocs\sos\application\controllers\Auth.php, LINE: 441
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:58 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
[Sat May 30 23:21:59 2020] [EMERGENCY] [] -> Constant SOS_ORDER_LIST already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 42
