[Sun Jun 07 13:26:27 2020] [ERROR] [Base_Controller->rlog_error] -> The account you are trying to log in has active session in another device.  Please log out the account from another device and try logging in again., FILE: C:\xampp\htdocs\ocbs\application\controllers\Auth.php, LINE: 441
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:47 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:00:48 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
[Sun Jun 07 14:01:37 2020] [EMERGENCY] [] -> Constant DB_OCBS already defined, FILE: C:\xampp\htdocs\ocbs\application\systems\cbs\constants.php, LINE: 10
