[Fri May 29 12:46:44 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Fri May 29 12:47:21 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Fri May 29 12:47:29 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Fri May 29 12:47:35 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Fri May 29 12:58:30 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$module_folder, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Fri May 29 12:58:42 2020] [ERROR] [] -> Uncaught exception: [0] Call to undefined method Order_list_model::get_employees()
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', 'a259e8dc258ac18', 'a45ca50d08c0f6a', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 199
[Fri May 29 12:59:37 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$module_folder, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Fri May 29 13:00:39 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$module_folder, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Fri May 29 13:00:44 2020] [ERROR] [] -> Uncaught exception: [0] Call to undefined method Order_list_model::get_employees()
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', '33f087029f4884f', '5a83c3331198133', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 199
[Fri May 29 13:01:01 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$module_folder, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Fri May 29 13:01:05 2020] [ERROR] [] -> Uncaught exception: [0] Call to undefined method Order_list_model::get_employees()
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', '99d3a68e258d96c', '806efb9839215a2', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 199
[Fri May 29 13:01:29 2020] [ERROR] [] -> Uncaught exception: [0] Call to undefined method Order_list_model::get_employees()
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', '99d3a68e258d96c', '806efb9839215a2', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 199
[Fri May 29 13:02:59 2020] [ERROR] [] -> Uncaught exception: [0] Call to undefined method Order_list_model::get_employees()
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', 'd90b2c22cd3ee58', 'e77dafc5a893b4b', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 200
[Fri May 29 13:05:18 2020] [ERROR] [] -> Uncaught exception: [0] Call to undefined method Order_list_model::get_employees()
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', 'fe23836c38dbe2b', 'a6d1cae57972a4f', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 200
[Fri May 29 13:07:05 2020] [WARNING] [Order_list->process_modal] -> Use of undefined constant JS_FORMDEFAULTVALUE - assumed 'JS_FORMDEFAULTVALUE' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 213
[Fri May 29 13:07:37 2020] [WARNING] [Order_list->process_modal] -> Use of undefined constant JS_FORMDEFAULTVALUE - assumed 'JS_FORMDEFAULTVALUE' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 210
[Fri May 29 13:07:37 2020] [NOTICE] [include] -> Undefined variable: role_code, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 2
[Fri May 29 13:07:37 2020] [NOTICE] [include] -> Undefined variable: salt, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 3
[Fri May 29 13:07:37 2020] [NOTICE] [include] -> Undefined variable: token, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 4
