[Sat May 30 21:05:55 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 21:05:55 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 21:06:29 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 21:06:29 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:21 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:22 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:22 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:22 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:54 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:54 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:54 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 22:57:54 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 23:11:14 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 23:11:15 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 23:11:16 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_view, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 23:11:16 2020] [NOTICE] [MX_Controller->__get] -> Undefined property: CI::$permission_delete, FILE: C:\xampp\htdocs\sos\application\third_party\MX\Controller.php, LINE: 59
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:32:07 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
