[Sun May 31 00:00:19 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:01:39 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:02:01 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:02:21 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:02:35 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:04:58 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:05:06 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:05:08 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:12:27 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:12:37 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:12:39 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:12:42 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:13:58 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
